32927|10.299|3.391|-7.183|Moore than Machines|GBLOQ2
22877|-7.106|2.599|-36.703|Excelsior Robotics - The Petchey Academy|GBLOQ2
28577|93.886|82.307|103.42|Robokai - Royal Grammar School Newcastle|GBNEQ
30665|31.464|13.043|-7.37|She Can Code Society - Durham High School|GBNEQ
34016|28.128|10.233|-27.801|Keswick Tech - Keswick School|GBNEQ
32961|19.525|19.525|-43.925|George Stephenson High School|GBNEQ
27912|14.022|6.917|-34.749|Titanium Teesdale - Teesdale School and Sixth Form|GBNEQ
31749|-0.0|-0.0|-0.0|North East Futures UTC|GBNEQ
22487|42.191|34.209|34.524|Cubotics - Oxford High School|GBOXQ
32925|38.298|28.173|18.69|WCC|GBOXQ
32922|37.602|34.084|0.238|Motorless|GBOXQ
33003|32.709|12.762|-0.738|Emmbrook Joebotics|GBOXQ
24951|25.834|8.566|-16.19|H533 Bots - Holmer Green Senior School|GBOXQ
27911|16.227|21.102|-12.024|27911 - Gosford Hill School|GBOXQ
27941|9.066|6.262|4.405|RoBarts - St Bart's School|GBOXQ
24568|-4.327|1.441|-28.905|Dragonbots - St Gabriel's School|GBOXQ
33017|67.901|70.61|47.203|Itkan FITYA ( Pioneers ) - Fitya Innovation Hub &Fitya|GBSHQ
27885|43.43|48.473|31.271|Peak Bots - Funny Wonders Inc CIC|GBSHQ
25023|35.515|27.35|4.963|Robograngers - Outwood Grange Academy|GBSHQ
32411|32.836|8.799|6.527|UTC Sheffield City Centre|GBSHQ
20995|32.17|25.229|-6.434|Vision Robotics - Egglescliffe School|GBSHQ
33682|25.974|22.457|-4.98|Kendal College|GBSHQ
21126|19.236|1.673|-12.702|21126 - Holmfirth High School|GBSHQ
24650|18.132|19.25|-3.096|Mercia Robotics - Mercia School|GBSHQ
27880|17.595|13.42|-7.203|Queen Elizabeth's Grammar, Alford - Queen Elizabeth's Grammar, Alford|GBSHQ
32407|17.17|6.171|-24.172|Funny Wonders Inc CIC - Funny Wonders Inc CIC & Funny Wonders Inc CIC|GBSHQ
20993|11.738|9.898|-32.37|GroundX - Outwood Academy Newbold|GBSHQ
28575|44.893|46.807|25.693|X_Factor - Robocode|GBSTQ1
20981|35.177|27.995|13.85|Quantum Mechanix - St John Fisher Catholic College|GBSTQ1
28582|33.88|7.747|21.106|Mech Mavericks - UTC Derby Pride Park|GBSTQ1
27897|32.913|19.472|24.463|CyberBytes - St John Fisher Catholic College|GBSTQ1
31119|24.689|16.462|4.221|Our Lady and St Chad Catholic Academy|GBSTQ1
24716|15.937|12.593|-11.623|Bishop Perowne C of E College - Bishop Perowne C of E College|GBSTQ1
33005|12.133|8.251|-11.616|Robolution|GBSTQ1
27907|8.428|5.103|-24.825|Team Girlie-bots - King Edward VI Camp Hill School for Girls|GBSTQ1
32408|8.392|3.188|-11.436|DTA|GBSTQ1
28310|8.26|1.821|-13.837|RoboTek - UTC Derby Pride Park|GBSTQ1
28312|8.082|5.8|-13.331|Team Wright Robinson - Wright Robinson College|GBSTQ1
22486|52.471|34.551|55.434|Something's Gone Wrong - Denstone College|GBSTQ2
22663|39.343|36.38|19.889|VNATION - Phoenix Anodising/KilnCare&St Margaret Ward Catholic Academy|GBSTQ2
21135|34.502|11.938|-1.008|Newbotics - Newcastle Academy|GBSTQ2
25044|30.412|17.761|22.654|S.T.A.R.T - Thomas Alleyne's High School|GBSTQ2
25029|22.497|14.711|6.308|Robotic Hart - The Hart School & The Hart School|GBSTQ2
34014|17.765|5.512|-11.15|Cheadle Hulme High School|GBSTQ2
28560|15.444|7.804|-8.71|The Cranks - Cheadle Hulme High School|GBSTQ2
24753|13.893|9.458|-31.011|Newcastle Academy - Newcastle Academy|GBSTQ2
